"Story","Title","Result","Date","Stability","Duration (s)"
"Probar las funcionalidades de la pagina opencart.com","Validar acceso solo para usuarios registrados","SUCCESS","2022-05-26T17:01:31.171-05:00[America/Bogota]","0.0","26.74"
"Probar las funcionalidades de la pagina opencart.com","Filtrar ordenes por su numero de orden","SUCCESS","2022-05-26T17:01:57.911-05:00[America/Bogota]","0.0","11.98"
"Probar las funcionalidades de la pagina opencart.com","Filtrar reportes por fecha en cualquier formato","ERROR","2022-05-26T17:02:09.911-05:00[America/Bogota]","0.0","115.85"
